STT Tổng hợp,STT,Tên cơ sở,Địa chỉ,Ngành nghề/ Loại hình kinh doanh,Tiêu thụ năng lượng (TOE) / Công suất,Tỉnh / Thành phố,Vùng,Ngành / Lĩnh vực,Phụ lục
224,224,Công ty cổ phần Hanacans,"Khu công nghiệp Hanaka, phường Đồng Nguyên, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất vỏ bao bì kim loại,4.196,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
225,225,Công ty TNHH quốc tế Bright Việt Nam,"Khu công nghiệp Thuận Thành II, huyện Thuận Thành, tỉnh Bắc Ninh",Sản xuất đồ gia dụng gang tráng men cao cấp,8.091,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
226,226,Công ty TNHH Tiến Minh,"Khu công nghiệp Quế Võ, thị xã Quế Võ, tỉnh Bắc Ninh",Sản xuất ống nhựa,2.307,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
227,227,Công ty TNHH M&C Electronics Vina,"Lô J1, khu công nghiệp Quế Võ, xã Phương Liễu, huyện Quế Võ, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,5.049,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
228,228,Công ty TNHH Bujeon Việt Nam Electronics,"Khu công nghiệp Quế Võ, xã Phương Liễu, huyện Quế Võ, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,2.671,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
229,229,Công ty TNHH Jang Won Tech Vina,"Lô G1, khu công nghiệp Quế Võ, xã Phương Liễu, huyện Quế Võ, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,5.106,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
230,230,Công ty TNHH Toyo Ink Compounds Việt Nam,"Lô G9, khu công nghiệp Quế Võ, phường Vân Dương, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất nhựa và cao su tổng hợp dạng nguyên sinh,1.336,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
231,231,Công ty TNHH Jebsen & Jessen Packaging Việt Nam,"Lô K1, khu công nghiệp Quế Võ, phường Vân Dương, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất bao bì giấy,1.389,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
232,232,Công ty TNHH AAC Technologies Việt Nam,"Lô G10, khu công nghiệp Quế Võ, phường Vân Dương, thành phố Bắc Ninh, tỉnh Bắc Ninh","Sản xuất, lắp ráp sản phẩm âm học điện tử",5.169,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
233,233,Công ty giấy và bao bì Phú Giang,"Cụm công nghiệp Phú Lâm, huyện Tiên Du, tỉnh Bắc Ninh","Sản xuất bao bì bằng giấy, bìa",3.803,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
234,234,Công ty TNHH MTV Vina Paper,"Cụm công nghiệp Tân Chi, huyện Tiên Du, tỉnh Bắc Ninh","Sản xuất giấy, các sản phẩm từ giấy",5.307,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
235,235,Chi nhánh Công ty cổ phần Diana Unicharm - Bắc Ninh,"Cụm công nghiệp Tân Chi, xã Tân Chi, huyện Tiên Du, tỉnh Bắc Ninh","Sản xuất giấy, sản phẩm từ giấy",5.925,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
236,236,Công ty TNHH Crucialtec Vina,"Khu công nghiệp Yên Phong, xã Long Châu, huyện Yên Phong, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,1.762,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
237,237,Công ty TNHH KDA M&C,"Khu công nghiệp Yên Phong, xã Đông Phong, huyện Yên Phong, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,1.397,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
238,238,Công ty TNHH Em-Tech Việt Nam,"Khu công nghiệp Yên Phong, xã Long Châu, huyện Yên Phong, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,2.365,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
239,239,Công ty TNHH Dae Myung Việt Nam,"Khu công nghiệp Yên Phong, xã Long Châu, huyện Yên Phong, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,1.162,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
240,240,Công ty TNHH Samsung Display Việt Nam,"Khu công nghiệp Yên Phong, xã Yên Trung, huyện Yên Phong, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,141.271,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
241,241,Công ty TNHH Samsung SDI Việt Nam,"Khu công nghiệp Yên Phong I, xã Yên Trung, huyện Yên Phong, tỉnh Bắc Ninh",Sản xuất pin và ắc quy,2.572,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
242,242,Công ty TNHH điện tử Foster (Bắc Ninh),"Số 1, đường 11, khu công nghiệp đô thị và dịch vụ VSIP Bắc Ninh, phường Phù Chẩn, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,2.911,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
243,243,Chi nhánh Công ty Asia Packaging Industries Việt Nam tại miền Bắc,"Số 2, đường 11, Khu công nghiệp VSIP Bắc Ninh, phường Phù Chẩn, thành phố Từ Sơn, tỉnh Bắc Ninh",Vỏ bao bì kim loại,2.096,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
244,244,Công ty TNHH Dreamtech Việt Nam,"Số 100 đường Hữu Nghị, khu công nghiệp VSIP Bắc Ninh, phường Phù Chẩn, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,10.486,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
245,245,Công ty TNHH Air Liquide Việt Nam,"Khu công nghiệp Quế Võ, phường Vân Dương, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất khí gas công nghiệp,4.166,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
246,246,Công ty TNHH MPT Solution,"Lô G1-3-4-6-8 khu công nghiệp Quế Võ, phường Vân Dương, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,3.388,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
247,247,Công ty TNHH Canon Việt Nam (Chi nhánh Quế Võ),"Lô B1 khu công nghiệp Quế Võ, phường Vân Dương, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,4.325,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
248,248,Công ty TNHH Dragonjet Việt Nam,"Lô D3, khu công nghiệp Quế Võ, phường Nam Sơn, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất sản phẩm từ nhựa,1.967,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
249,249,Công ty TNHH Seiyo Việt Nam,"Lô D1, khu công nghiệp Quế Võ, phường Nam Sơn, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất sản phẩm từ nhựa,2.806,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
250,250,Công ty TNHH VS Industry Việt Nam,"Lô C2, khu công nghiệp Quế Võ, phường Vân Dương, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất sản phẩm từ nhựa,1.968,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
251,251,Công ty TNHH Mobase Việt Nam,"Khu công nghiệp Yên Phong, xã Long Châu, huyện Yên Phong, tỉnh Bắc Ninh",Sản xuất sản phẩm từ nhựa,9.831,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
252,252,Công ty cổ phần sữa Việt Nam (Nhà máy sữa Tiên Sơn),"Khu công nghiệp Tiên Sơn, xã Hoàn Sơn, huyện Tiên Du, tỉnh Bắc Ninh",Chế biến sữa và các sản phẩm từ sữa,10.896,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
253,253,Công ty TNHH Tenma Việt Nam,"Lô E1, khu công nghiệp Quế Võ, phường Phương Liễu, thị xã Quế Võ, tỉnh Bắc Ninh",Sản xuất sản phẩm từ nhựa,3.569,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
254,254,Công ty TNHH Funing Precision Component,"Lô B, khu công nghiệp Quế Võ, phường Vân Dương, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,8.575,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
255,255,Công ty TNHH Canon Việt Nam (Nhà máy Tiên Sơn),"Số 12 đường 10, khu công nghiệp Tiên Sơn, huyện Tiên Du, tỉnh Bắc Ninh",Sản xuất máy in,3.261,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
256,256,Công ty TNHH Hà Nội Seowonintech,"Khu công nghiệp Yên Phong, xã Long Châu, huyện Yên Phong, tỉnh Bắc Ninh",Sản xuất sản phẩm từ nhựa,3.094,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
257,257,Chi nhánh Công ty TNHH Nước giải khát Suntory PepsiCo Việt Nam tại tỉnh Bắc Ninh,"Số 88, đường Hữu Nghị, Khu công nghiệp VSIP, phường Phù Chẩn, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất đồ uống không cồn,6.467,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
258,258,Công ty TNHH Samsung Electronics Việt Nam,"Khu công nghiệp Yên Phong I, xã Yên Trung, huyện Yên Phong, tỉnh Bắc Ninh",Sản xuất thiết bị truyền thông,43.960,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
259,259,Công ty TNHH Getac Precision technology Việt Nam,"Lô L1-2-3-5-6-7, khu công nghiệp Quế Võ, phường Vân Dương, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất khuôn mẫu,5.794,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
260,260,Công ty TNHH Fushan Technology Việt Nam,"Số 8 đường 6, khu công nghiệp VSIP, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,4.614,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
261,261,Công ty TNHH UIL Việt Nam,"Lô F1, khu công nghiệp Quế Võ, phường Phương Liễu, thị xã Quế Võ, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,4.904,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
262,262,Công ty TNHH Synopex Vina 2,"Cụm công nghiệp đa nghề Đông Thọ, xã Đông Thọ, huyện Yên Phong, tỉnh Bắc Ninh, Việt Nam",Sản xuất linh kiện điện tử,6.525,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
263,263,Công ty cổ phần Tiến Hưng,"Khu công nghiệp Tiên Sơn, xã Hoàn Sơn, huyện Tiên Du, tỉnh Bắc Ninh",Chế biến thực phẩm,1.292,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
264,264,Công ty TNHH Sumitomo Electric Interconnect Products Việt Nam,"Lô 3, TS 6, khu công nghiệp Tiên Sơn, xã Hoàn Sơn, huyện Tiên Du, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,1.252,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
265,265,Công ty TNHH Seojin Auto,"Lô J5, khu công nghiệp Đại Đồng - Hoàn Sơn, phường Tân Hồng, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,20.529,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
266,266,Chi nhánh Công ty TNHH Thực phẩm Orion Vina,"Khu công nghiệp Yên Phong, xã Yên Trung, huyện Yên Phong, tỉnh Bắc Ninh","Sản xuất, chế biến thực phẩm",6.805,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
267,267,Công ty TNHH JMT VN,"Khu công nghiệp Quế Võ 2, xã Ngọc Xá, thị xã Quế Võ, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,3.241,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
268,268,Công ty TNHH MTV Thương mại Hiệp Quang,"Khu công nghiệp Khắc Niệm, phường Khắc Niệm, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất các sản phẩm từ cao su và nhựa,2.499,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
269,269,Công ty TNHH Đông Á Bắc Ninh,"Cụm công nghiệp Phong Khê 1, phường Phong Khê, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất giấy và các sản phẩm từ giấy,1.724,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
270,270,Công ty cổ phần gạch ốp lát BNC,"Lô V 6.1 khu công nghiệp Quế Võ 2, xã Ngọc Xá, thị xã Quế Võ, tỉnh Bắc Ninh",Sản xuất các sản phẩm phi kim loại,4.148,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
271,271,Công ty cổ phần bao bì Anh Sơn,"46L Chùa Dận, phường Đình Bảng, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất giấy và các sản phẩm từ giấy,1.934,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
272,272,Công ty TNHH sản xuất thép Hiệp Lực,"Lô 31, cụm công nghiệp Châu Khê 2, phường Châu Khê, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất các sản phẩm từ kim loại,2.071,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
273,273,Công ty TNHH Nhất Hảo,"Cụm công nghiệp giấy Phong Khê, phường Phong Khê, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất giấy và các sản phẩm từ giấy,1.224,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
274,274,Chi nhánh Công ty cổ phần Acecook Việt Nam tại Bắc Ninh,"Khu công nghiệp Tiên Sơn, xã Hoàn Sơn, huyện Tiên Du, tỉnh Bắc Ninh",Chế biến thực phẩm,1.379,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
275,275,Công ty TNHH Nước giải khát và Thực phẩm Suntory Việt Nam,"Số 22, đường 5, khu công nghiệp VSIP Bắc Ninh, phường Phù Chẩn, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất đồ uống,1.047,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
276,276,Công ty TNHH Wisol Hà Nội,"Số 26, đường số 5, khu công nghiệp VSIP Bắc Ninh, phường Phù Chẩn, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,4.422,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
277,277,Công ty TNHH Srithai (Hà Nội),"Số 1, đường 3, khu công nghiệp VSIP Bắc Ninh, phường Phù Chẩn, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất các sản phẩm từ cao su và nhựa,2.730,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
278,278,Công ty TNHH Sản xuất và Thương mại Hải Phúc,"Cụm công nghiệp Phú Lâm, xã Phú Lâm, huyện Tiên Du, tỉnh Bắc Ninh",Sản xuất giấy và các sản phẩm từ giấy,2.170,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
279,279,Công ty TNHH Peony,"Số 15, đường 7, khu công nghiệp VSIP Bắc Ninh, phường Phù Chẩn, thành phố Từ Sơn, tỉnh Bắc Ninh","Sản xuất trang phục, nhuộm",1.446,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
280,280,Công ty TNHH Vina Yong Seong,"Lô J6 khu công nghiệp Đại Đồng - Hoàn Sơn, phường Tân Hồng, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất các sản phẩm từ cao su và nhựa,1.449,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
281,281,Công ty TNHH Texon Vietnam,"Lô K1-2, khu công nghiệp Đại Đồng - Hoàn Sơn, phường Tân Hồng, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất các sản phẩm từ kim loại,7.782,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
282,282,Công ty TNHH Sản xuất Biel Crystal Việt Nam,"Số 98, đường Hữu Nghị, khu công nghiệp VSIP Bắc Ninh, xã Đại Đồng, huyện Tiên Du, tỉnh Bắc Ninh","Sản xuất radio, thiết bị truyền thông",9.812,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
283,283,Công ty TNHH Xây dựng sản xuất và Thương mại Phú Lâm,"Cụm công nghiệp Phú Lâm, thôn Tam Tảo, xã Phú Lâm, huyện Tiên Du, tỉnh Bắc Ninh",Sản xuất giấy và các sản phẩm từ giấy,1.521,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
284,284,Công ty TNHH Jworld Vina,"Số 11, đường 10, khu công nghiệp VSIP Bắc Ninh, xã Đại Đồng, huyện Tiên Du, tỉnh Bắc Ninh","Sản xuất các thiết bị, dụng cụ điện",1.481,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
285,285,Công ty TNHH Seojin System Vina,"Lô 23, đường TS 5, khu công nghiệp Tiên Sơn, phường Đồng Nguyên, thành phố Từ Sơn, tỉnh Bắc Ninh","Sản xuất radio, thiết bị truyền thông",4.854,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
286,286,Công ty cổ phần Công nghệ thực phẩm Châu Á,"Số 08, đường TS15, khu công nghiệp Tiên Sơn, xã Hoàn Sơn, huyện Tiên Du, tỉnh Bắc Ninh","Sản xuất, kinh doanh trong ngành hàng thực phẩm",15.997,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
287,287,Công ty TNHH Taixin Printing Vina,"Số 19, đường 11, khu công nghiệp VSIP, xã Đại Đồng, huyện Tiên Du, tỉnh Bắc Ninh",Sản xuất bao bì in ấn,1.200,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
288,288,Công ty TNHH Bao bì NM Việt Nam,"Số 02, đường TS6, khu công nghiệp Tiên Sơn, xã Nội Duệ, huyện Tiên Du, tỉnh Bắc Ninh",Sản xuất và cung cấp bao bì nhựa,1.054,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
289,289,Công ty TNHH Segyung Vina,"Lô H1, khu công nghiệp Quế Võ, xã Phương Liễu, thị xã Quế Võ, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,7.871,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
290,290,Công ty TNHH Công nghệ bao bì Yuzhan,"Lô H2, 01, khu công nghiệp Quế Võ, phường Phương Liễu, thị xã Quế Võ, tỉnh Bắc Ninh","Sản xuất, in ấn các sản phẩm bao bì",10.013,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
291,291,Công ty cổ phần Công thương Đông Phương,"Trang Liệt, phường Trang Hạ, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất dây và thiết bị dây dẫn,2.218,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
292,292,Công ty Sản xuất và Thương mại Việt Mỹ,"Thôn Tam Tảo, xã Phú Lâm, huyện Tiên Du, tỉnh Bắc Ninh",Sản xuất giấy và sản phẩm từ giấy,1.346,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
293,293,Công ty TNHH Kurabe Industrial Bắc Ninh,"Số 5, đường 7, khu công nghiệp VSIP Bắc Ninh, phường Phù Chẩn, thành phố Từ Sơn, tỉnh Bắc Ninh","Sản xuất dây điện, dây cáp, linh kiện bên trong các đồ điện gia dụng",1.699,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
294,294,Công ty cổ phần Công nghiệp Kimsen,"Khu công nghiệp Yên Phong, xã Long Châu, huyện Yên Phong, tỉnh Bắc Ninh",Gia công cơ khí,1.468,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
295,295,Công ty TNHH Asean Tire,"Lô D3-5, đường TS19, khu công nghiệp Tiên Sơn, xã Hoàn Sơn, huyện Tiên Du, tỉnh Bắc Ninh","Sản xuất lốp, săm cao su các loại",3.668,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
296,296,Công ty TNHH Dầu Thực Vật Dabaco,"Cụm công nghiệp Tân Chi, xã Tân Chi, huyện Tiên Du, tỉnh Bắc Ninh",Sản xuất các sản phẩm được chiết xuất từ hạt đậu nành,12.268,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
297,297,Công ty cổ phần Ngân Sơn,"Số 01, đường TS1, khu công nghiệp Tiên Sơn, huyện Tiên Du, tỉnh Bắc Ninh",Sản xuất thuốc lá,1.087,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
298,298,Hợp tác xã cổ phần Thiện Thắng,"Khu công nghiệp Phong Khê, phường Phong Khê, thành phố Bắc Ninh, tỉnh Bắc Ninh",Sản xuất các sản phẩm khác từ giấy và bìa,2.131,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
299,299,Công ty TNHH Vietnam Buwon,"Lô X8, khu công nghiệp Thuận Thành 3, phường Thanh Khương, thị xã Thuận Thành, tỉnh Bắc Ninh",Sản xuất linh kiện điện tử,1.400,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
300,300,Công ty cổ phần Xuất nhập khẩu Hòa An,"Lô VII.4, khu công nghiệp Thuận Thành 3, thị xã Thuận Thành, tỉnh Bắc Ninh",Sản xuất và gia công các sản phẩm nhựa,1.511,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
301,301,Công ty cổ phần Tập đoàn Phát Đạt VN,"Khu Phố Dương Ổ, phường Phong Khê, thành phố Bắc Ninh, tỉnh Bắc Ninh","Sản xuất bột giấy, giấy và bìa",2.754,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
302,302,Công ty TNHH sản xuất kinh doanh giấy Toàn Tiến,"Khu Dương Ổ, phường Phong Khê, thành phố Bắc Ninh, tỉnh Bắc Ninh","Sản xuất bột giấy, giấy và bìa",1.976,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
303,303,Công ty TNHH Hùng Vương Kinh Bắc,"Cụm công nghiệp Phú Lâm, xã Phú Lâm, huyện Tiên Du, tỉnh Bắc Ninh","Sản xuất bột giấy, giấy và bìa khác",1.299,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
304,304,Công ty TNHH Sản xuất và Thương mại Ngọc Minh Giang,"Cụm công nghiệp Phú Lâm, xã Phú Lâm, huyện Tiên Du, tỉnh Bắc Ninh","Sản xuất bột giấy, giấy và bìa",1.382,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
305,305,Công ty Mai Phương - TNHH,"Khu công nghiệp Tiên Sơn, xã Tương Giang, thành phố Từ Sơn, tỉnh Bắc Ninh",Sản xuất và gia công các sản phẩm nhựa,2.817,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
306,306,Công ty TNHH Jaeyoung Vina,"Lô C2-1, khu công nghiệp Quế Võ, phường Phương Liễu, thị xã Quế Võ, tỉnh Bắc Ninh",sản xuất camera module điện thoại,3.808,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
307,307,Công ty TNHH In bao bì Yuto Việt Nam,"Khu công nghiệp Quế Võ, phường Phương Liễu, thị xã Quế Võ, tỉnh Bắc Ninh",Sản xuất lĩnh vực in ấn bao bì sản phẩm,1.490,Tỉnh Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,Ngành Công Thương,Phụ lục II
